source,target,km,days,expense,type,BREED
50046,50243,49.553,1.652,1.734,road,routes
50046,50452,550.634,4.477,0.448,overseas,routes
50046,50658,30.969,0.198,0.02,coastal,routes
50047,50110,28.058,0.935,0.982,road,routes
50047,50324,95.146,3.172,3.33,road,routes
50048,50082,275.621,9.187,9.647,road,routes
50048,50084,231.751,7.725,8.111,road,routes
50048,50289,59.378,1.979,2.078,road,routes
50048,50470,191.687,6.39,6.709,road,routes
50049,50110,62.478,0.549,0.055,coastal,routes
50049,50205,38.091,1.27,1.333,road,routes
50049,50226,102.066,3.402,3.572,road,routes
50049,50336,245.625,1.565,0.157,coastal,routes
50049,50358,257.126,1.621,0.162,coastal,routes
50050,50162,30.972,0.278,0.028,slowcoast,routes
50050,50169,368.001,2.23,0.223,coastal,routes
50050,50557,69.101,0.379,0.038,coastal,routes
50050,50603,374.068,1.907,0.191,coastal,routes
50051,50066,83.284,0.542,0.054,coastal,routes
50051,50358,53.105,1.77,1.859,road,routes
50051,50520,32.332,0.258,0.026,coastal,routes
50052,50003,109.155,3.639,3.82,road,routes
50052,50298,96.213,3.207,3.367,road,routes
50052,50413,109.691,3.656,3.839,road,routes
50053,50062,94.639,3.155,3.312,road,routes
50053,50083,191.539,1.596,0.651,fastdown,routes
50053,50099,27.034,0.416,0.092,downstream,routes
50054,50157,55.971,1.866,1.959,road,routes
50054,50337,95.175,3.172,3.331,road,routes
50055,50348,55.19,1.84,1.932,road,routes
50055,50395,165.928,1.383,0.564,fastdown,routes
50056,50001,54.539,1.818,1.909,road,routes
50056,50314,126.177,4.206,4.416,road,routes
50056,50370,32.01,1.067,1.12,road,routes
50057,50059,185.733,6.191,6.501,road,routes
50057,50157,121.109,4.037,4.239,road,routes
50057,50242,257.891,3.968,0.877,downstream,routes
50058,50727,107.811,3.594,3.773,road,routes
50058,50744,149.43,4.981,5.23,road,routes
50059,50057,185.733,6.191,6.501,road,routes
50059,50091,47.61,1.587,1.666,road,routes
50059,50142,125.776,4.193,4.402,road,routes
50060,50299,196.321,6.544,6.871,road,routes
50060,50368,116.786,3.893,4.088,road,routes
50061,50142,94.326,3.144,3.301,road,routes
50061,50231,179.267,5.976,6.274,road,routes
50061,50774,121.241,4.041,4.243,road,routes
50062,50053,94.639,3.155,3.312,road,routes
50062,50424,51.966,1.732,1.819,road,routes
50063,50012,237.332,7.911,8.307,road,routes
50063,50157,121.054,4.035,4.237,road,routes
50063,50270,79.797,2.66,2.793,road,routes
50064,50233,67.024,2.234,2.346,road,routes
50064,50333,95.329,3.178,3.337,road,routes
50065,50167,175.803,1.149,0.115,coastal,routes
50065,50379,97.688,0.698,0.07,coastal,routes
50066,50022,423.19,3.602,0.36,coastal,routes
50066,50051,83.284,0.685,0.068,coastal,routes
50066,50086,133.554,0.855,0.086,coastal,routes
50066,50102,71.411,2.38,2.499,road,routes
50067,50092,45.894,1.53,1.606,road,routes
50067,50106,55.602,1.853,1.946,road,routes
50067,50161,39.775,1.326,1.392,road,routes
50068,50033,68.37,2.279,2.393,road,routes
50068,50239,95.979,3.199,3.359,road,routes
50068,50372,65.737,2.191,2.301,road,routes
50069,50007,23.523,0.784,0.823,road,routes
50069,50009,30.114,1.004,1.054,road,routes
50069,50113,15.674,0.522,0.549,road,routes
50069,50381,76.2,2.54,2.667,road,routes
50070,50130,379.098,12.637,13.268,road,routes
50072,50092,100.738,3.358,3.526,road,routes
50072,50139,73.416,2.447,2.57,road,routes
50072,50771,115.885,3.863,4.056,road,routes
50073,50405,85.522,0.517,0.052,coastal,routes
50073,50452,395.694,3.522,0.352,overseas,routes
50073,50630,252.063,2.143,0.214,coastal,routes
50073,50643,38.614,0.28,0.028,coastal,routes
50074,50046,34.21,1.14,1.197,road,routes
50074,50213,43.156,1.439,1.51,road,routes
50075,50093,73.054,2.435,2.557,road,routes
50075,50744,294.636,9.821,10.312,road,routes
50076,50219,51.184,1.706,1.791,road,routes
50076,50430,65.986,2.2,2.309,road,routes
50077,50012,31.657,0.264,0.108,fastdown,routes
